num_distr	fixation.started	mouse.started	target.started	fixation.stopped	mouse.x	mouse.y	mouse.time	mouse.clicked_name
5	165.3354937	0.0199948			[0.19907407407407407]	[0.017592592592592594]	[0.3549448999983724]	[]
5	165.7299089	0.0268651			[0.19907407407407407]	[0.017592592592592594]	[0.382025099999737]	[]
10	166.1511114	0.0320867			[0.19907407407407407]	[0.017592592592592594]	[0.26391319999675034]	[]
5	166.4373909	0.0183624			[0.19907407407407407]	[0.017592592592592594]	[0.3197541000045021]	[]
10	166.8024504	0.0351259			[0.19907407407407407]	[0.017592592592592594]	[0.3281187999964459]	[]
10	167.1699512	0.031493			[0.19907407407407407]	[0.017592592592592594]	[0.4084062000038102]	[]
5	167.5940722	0.0133653	168.083102	168.0996003	[0.19907407407407407]	[0.017592592592592594]	[0.6803650999936508]	[]
10	168.321928	0.0366248			[0.19907407407407407]	[0.017592592592592594]	[0.33810790000279667]	[]
10	168.6964635	0.0308529			[0.19907407407407407]	[0.017592592592592594]	[0.3537319999959436]	[]
10	169.0899799	0.0298545			[0.19907407407407407]	[0.017592592592592594]	[0.3590346999990288]	[]
5	169.4770483	0.0233498			[0.19907407407407407]	[0.017592592592592594]	[0.2683080999995582]	[]
10	169.7774009	0.0258957			[0.19907407407407407]	[0.017592592592592594]	[0.3670842999999877]	[]
5	170.1574151	0.0121484			[0.19907407407407407]	[0.017592592592592594]	[0.384052099994733]	[]
10	170.588387	0.0362749			[0.19907407407407407]	[0.017592592592592594]	[0.3418329999985872]	[]
5	170.9581996	0.0218551	171.4335943	171.4672515	[0.19907407407407407]	[0.017592592592592594]	[0.5678438000031747]	[]
10	171.5708201	0.0349546			[0.19907407407407407]	[0.017592592592592594]	[0.30711569999402855]	[]
5	171.8969649	0.0149476	172.3849776	172.4009922	[0.19907407407407407]	[0.017592592592592594]	[0.6471772000004421]	[]
10	172.5899124	0.0350599	173.0512815	173.1072163	[0.19907407407407407]	[0.017592592592592594]	[0.6182432999994489]	[]
10	173.251404	0.0354726			[0.19907407407407407]	[0.017592592592592594]	[0.38705710000067484]	[]
10	173.6705185	0.0273519	174.1349512	174.1683061	[0.19907407407407407]	[0.017592592592592594]	[0.6883832000021357]	[]
5	174.395518	0.0261471	174.8684195		[0.19907407407407407]	[0.017592592592592594]	[0.4860963000028278]	[]
10	174.9274241	0.0401723			[0.19907407407407407]	[0.017592592592592594]	[0.42221799999970244]	[]
10	175.3808726	0.02547	175.8553973	175.8934856	[0.19907407407407407]	[0.017592592592592594]	[0.5413539000001037]	[]
10	175.9587929	0.0286351	176.4359935	176.4719399	[0.19907407407407407]	[0.017592592592592594]	[0.5398882000008598]	[]
5	176.5322358	0.0265666	177.0027165		[0.19907407407407407]	[0.017592592592592594]	[0.4808359000016935]	[]
5	177.0434147	0.0226628	177.5195817	177.5529022	[0.19907407407407407]	[0.017592592592592594]	[0.5359173999968334]	[]
5	177.6183054	0.0271351			[0.19907407407407407]	[0.017592592592592594]	[0.31557559999782825]	[]
10	177.9699365	0.030017			[0.19907407407407407]	[0.017592592592592594]	[0.24485730000014883]	[]
10	178.2552465	0.0317847	178.7200282	178.7700011	[0.19907407407407407]	[0.017592592592592594]	[1.4440293000006932]	[]
10	179.7395947	0.0309751	180.2086726	180.2472295	[-0.03333333333333333]	[-0.19444444444444445]	[0.8970097999990685]	[]
5	180.6567726	0.0171892	181.1376536	181.1709727	[-0.03333333333333333]	[-0.19444444444444445]	[0.6223297000033199]	[]
5	181.3137246	0.0256056	181.7878998	181.8212602	[0.17314814814814813]	[-0.2638888888888889]	[2.601062300003832]	[]
10	183.9660097	0.0389796	184.4240679	184.4747586	[0.17314814814814813]	[-0.26481481481481484]	[0.9703362000000197]	[]
10	184.9837588	0.0400652	185.4403786	185.4927352	[0.17314814814814813]	[-0.26481481481481484]	[0.5683236999975634]	[]
10	185.60262	0.0404616	186.0604427	186.1081234	[0.17314814814814813]	[-0.26481481481481484]	[0.652494599999045]	[]
5	186.2801926	0.0221056	186.756499	186.7894194	[0.17314814814814813]	[-0.26481481481481484]	[3.072650900001463]	[]
10	189.3962279	0.0363214	189.8643147	189.9024397	[0.17314814814814813]	[-0.26481481481481484]	[1.1748422000018763]	[]
